rgn_name,year,species,stockid,catch,rgn_catch,rgn_ass_catch_prop
Central Coast,2012,pacific_cod,PCODHS,18124.261457128807,6651097.05,0.0027250033071053756
North Vancouver Island,2012,pacific_cod,PCOD5AB,14081.771315983246,15882505.030000001,8.86621555565989e-4
North Vancouver Island,2012,pacific_cod,PCODWCVANI,10109.518684016755,15882505.030000001,6.365191551912737e-4
Aristazabal Island,2012,pacific_cod,PCOD5AB,9.257222631892681,28531.95,3.2445110242702234e-4
Aristazabal Island,2012,pacific_cod,PCODHS,340.8227773681073,28531.95,0.011945302629792471
West Vancouver Island,2011,pacific_cod,PCODWCVANI,609538.56,37483061.97,0.016261706700691936
Strait of Georgia,2011,pacific_cod,NA,4612.03,7687581.640764271,NA
North Coast,2011,pacific_cod,PCODHS,422841.38,1116084.9,0.3788613034725226
Haida Gwaii,2011,pacific_cod,PCOD5AB,88360.6707916644,6398602.08,0.013809371123085121
Haida Gwaii,2011,pacific_cod,PCODHS,370828.3592083356,6398602.08,0.057954589857592075
Central Coast,2011,pacific_cod,PCOD5AB,292372.17754267715,9315430.09,0.031385794828360646
Central Coast,2011,pacific_cod,PCODHS,37526.81245732287,9315430.09,0.004028457311660515
North Vancouver Island,2011,pacific_cod,PCOD5AB,33635.94872406946,12880619.940000001,0.0026113610121835064
North Vancouver Island,2011,pacific_cod,PCODWCVANI,24147.761275930545,12880619.940000001,0.001874735951251935
Aristazabal Island,2011,pacific_cod,PCOD5AB,47.042387631790106,30500.67,0.0015423394840765828
Aristazabal Island,2011,pacific_cod,PCODHS,1731.9576123682098,30500.67,0.056784248095802806
West Vancouver Island,2010,pacific_cod,PCODWCVANI,486190.62,48255117.88,0.010075420833268928
Strait of Georgia,2010,pacific_cod,NA,5913.51,7873037.449448899,NA
North Coast,2010,pacific_cod,PCODHS,534028.64,1510411.17,0.3535650759256501
Haida Gwaii,2010,pacific_cod,PCOD5AB,94124.09859257472,9266914.43,0.010157005258175748
Haida Gwaii,2010,pacific_cod,PCODHS,395016.0714074252,9266914.43,0.04262649389840381
Central Coast,2010,pacific_cod,PCOD5AB,381801.24831369275,8696099.86,0.043904883161460476
Central Coast,2010,pacific_cod,PCODHS,49005.29168630727,8696099.86,0.005635318415755551
North Vancouver Island,2010,pacific_cod,PCOD5AB,40767.62174657523,2632440.65,0.0154866252147319
North Vancouver Island,2010,pacific_cod,PCODWCVANI,29267.698253424784,2632440.65,0.011118084752803367
Aristazabal Island,2010,pacific_cod,PCOD5AB,6.38893270135852,50359.26,1.2686708862200358e-4
Aristazabal Island,2010,pacific_cod,PCODHS,235.2210672986415,50359.26,0.004670860280684058
West Vancouver Island,2009,pacific_cod,PCODWCVANI,314497.17,37271476.04,0.00843801221240821
Strait of Georgia,2009,pacific_cod,NA,3138.64,18544835.568107594,NA
North Coast,2009,pacific_cod,PCODHS,242527.99,842187.1699999999,0.2879739785159634
Haida Gwaii,2009,pacific_cod,PCOD5AB,56216.68844945081,7717113.55,0.007284678148794482
Haida Gwaii,2009,pacific_cod,PCODHS,235927.8415505492,7717113.55,0.03057203189015525
Central Coast,2009,pacific_cod,PCOD5AB,67143.64009049739,12261406.66,0.005476014453507848
Central Coast,2009,pacific_cod,PCODHS,8618.079909502625,12261406.66,7.028622529596963e-4
North Vancouver Island,2009,pacific_cod,PCOD5AB,17051.888692129207,5608324.96,0.0030404601754976065
North Vancouver Island,2009,pacific_cod,PCODWCVANI,12241.811307870792,5608324.96,0.0021827927937811205
Aristazabal Island,2009,pacific_cod,PCOD5AB,4.344082878105946,25609.350000000002,1.6962878316341282e-4
Aristazabal Island,2009,pacific_cod,PCODHS,159.93591712189405,25609.350000000002,0.006245215795086328
Pacific Offshore,2009,pacific_cod,NA,0,9615.72,NA
